Title,Price,Rating
3i Chromebook Laptop - 15.6 Inch Full HD Laptop - 8GB Memory - 64GB Storage - Intel Celeron N4500 – 2023 Model,$274.99$274.99,4.2 out of 5 stars
"Prestige 14 H Laptop: Intel Core i9-13900H, GeForce RTX 2050, 14"" FHD+ Display, 32GB DDR5, 1TB NVMe SSD, WiFi 6E, Thunderbolt 4, Win 11 Home: Urban Silver B13UCX-601US","$1,199.99$1,199.99",5.0 out of 5 stars
"IdeaPad 1 14 Laptop, 14.0"" HD Display, Intel Celeron N4020, 4GB RAM, 64GB Storage, Intel UHD Graphics 600, Win 11 in S Mode, Cloud Grey",$151.00$151.00,3.9 out of 5 stars
"IdeaPad 1 – AMD Ryzen5-5500U – 15.6"" Full HD (1920x1080) – 8GB Memory – 512GB SSD Storage – Windows 11 - Cloud Grey – (2023 Model)",$349.99$349.99,3.9 out of 5 stars
"2022 Newest Ideapad 3 Laptop, 15.6"" HD Touchscreen, 11th Gen Intel Core i3-1115G4 Processor, 8GB DDR4 RAM, 256GB PCIe NVMe SSD, HDMI, Webcam, Wi-Fi 5, Bluetooth, Windows 11 Home, Almond",$409.00$409.00,4.3 out of 5 stars
"IdeaPad 3 – (2023) - Everyday Notebook - Windows 11-14"" Full HD – 8GB Memory – 128GB Storage - Intel Core i3-1115G - Platinum Grey",,4.4 out of 5 stars
"15.6” Galaxy Book2 Pro Laptop Computer, i7 / 16GB / 512GB, 12th Gen Intel Core Processor, Evo Certified, Lightweight, 2022 Model, Graphite","$1,249.99$1,249.99",4.2 out of 5 stars
"IdeaPad 3i Laptop, 14"" FHD Screen, Intel i3-1115G4 Processor, 12GB RAM, 256GB SSD, Webcam, HDMI, Media Card Reader, Dolby Audio, Wi-Fi 6, Windows 11 Home, Platinum Grey",$292.00$292.00,4.3 out of 5 stars
"2023 Newest IdeaPad 3 14"" FHD Laptop, for Students and Business, Intel Core i3-1115G4(Up to 4.1GHz), 20GB DDR4 RAM, 1TB NVMe SSD, Webcam, HDMI, WiFi 6, Win 11 Home, GM Accessory",$370.60$370.60,4.1 out of 5 stars
3i Chromebook Laptop - 15.6 Inch Full HD Laptop - 8GB Memory - 64GB Storage - Intel Celeron N4500 – 2023 Model,$274.99$274.99,4.2 out of 5 stars
"Flex 5i 15.6"" FHD Touch Screen Laptop | Intel Core i5-1135G7 Processor | 8GB RAM | 256GB SSD | Intel Iris Xe Graphics | Windows 11 Home | Graphite Grey | Bundle with Stylus Pen",$539.99$539.99,3.5 out of 5 stars
"Swift 3 OLED Intel Evo Thin & Light Laptop | 14"" OLED 2880x1800 | Intel Core i7-12700H | Intel Iris Xe Graphics | 16GB LPDDR5 | 1TB SSD | Killer Wi-Fi 6E AX1675 | Windows 11 Home | SF314-71-75MW","$1,146.44$1,146.44",4.1 out of 5 stars
"Slim 7 Pro X Laptop: Ryzen 9 6900HS, RTX 3050, 32GB DDR5 RAM, 1TB SSD, 14.5'' Touchscreen IPS 3K (3072x1920) 120Hz Display, Windows 11 Gray","$1,029.99$1,029.99",3.8 out of 5 stars
"IdeaPad Slim 3 - (2023) - Everyday Laptop - Lightweight - Windows 11-15.6"" FHD - 8GB Memory - 256GB Storage - AMD Ryzen 3 7320U - Arctic Grey",$371.80$371.80,4.2 out of 5 stars
"Ideapad 1 15.6"" FHD Laptop, AMD R3 7320U, 8GB RAM, 256GB SSD, Blue, Windows 11, 82VG00BJUS",$304.94$304.94,
"Legion Pro 5 2023 16"" Gaming Laptop WQXGA IPS 240Hz 24-Core 13th Intel Core i9-13900HX 64GB DDR5 2TB SSD NVIDIA GEFORCE RTX 4070 8GB Wi-Fi 6E RGB Backlit KB Windows 11 Pro w/Free 32GB USB Drive",,2.4 out of 5 stars
"Chromebook Plus 514 Laptop – 14"" WUXGA 1920 x 1200 IPS Display | AMD Ryzen 3 7320U | 8GB LPDDR5X | 128GB SSD | Wi-Fi 6E | FHD Facial Auto Exposure Camera | Chrome OS | Steel Gray | CB514-3H-R6G5",$399.99$399.99,
"Ideapad 3i Flagship 14'' FHD Laptop for Business and Students Essential, 12GB RAM, 512GB NVMe SSD, Intel Dual Core Processor, Wi-Fi 6, HDMI, Dolby Audio, Windows 11 Home, GM Accessories, Gray",$345.00$345.00,4.1 out of 5 stars
"IdeaPad 3i 14 Laptop, Student and Business, 14"" FHD Screen, Intel i3-1115G4 Processor, 8GB RAM, 256GB SSD, HDMI, Media Card Reader, Webcam, Dolby Audio, Wi-Fi 6, Windows 11 Home, Platinum Grey",$313.90$313.90,4.4 out of 5 stars
"ThinkPad E16 Gen 1 2023 Laptop 16"" WUXGA IPS Touchscreen 10-Core Intel i7-1355U 32GB DDR4 1TB SSD Iris Xe Graphics Thunderbolt 4 Wi-Fi 6 Backlit KB Fingerprint Windows 11 Pro w/ONT 32GB USB",,
"ThinkPad P1 Gen 6 21FV001UUS Mobile Workstation - Intel Core i9-13900H -16"" WQXGA (2560x1600) IPS -32GB RAM, 1TB SSD - NVIDIA GeForce RTX 4090 16GB - Black - Windows 11 Pro - vPro Enterprise","$2,849.49$2,849.49",5.0 out of 5 stars
"Chromebook Spin 314 Convertible Laptop | Intel Pentium Silver N6000 | 14"" HD Corning Gorilla Glass Touch Display | 8GB LPDDR4X | 128GB eMMC | Intel Wi-Fi 6 AX201 | Chrome OS | CP314-1H-P1Q5",$399.12$399.12,4.4 out of 5 stars
